Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гаврилів,Алевтин,Романович,Чоловіча,1964-01-18,Правник,хутір Золочів,"площа Батуринська, буд. 131 кв. 25, Броди, 67045",766 91 87,epiatachenko@example.com
Калениченко,Людмила,Юріївна,Жіноча,1999-05-31,Мовознавець,селище Дергачі,"площа Трудовий, буд. 986, Дубровиця, 69735",781-86-50,roman14@example.com
Зінкевич,Мирон,Григорович,Чоловіча,1980-02-02,Бізнесмен,селище Володимир-Волинський,"площа Соні Делоне, буд. 59, Тальне, 35702",+380 96 909 46 52,ievhentelychenko@example.net
Рубан,Василина,Григорівна,Жіноча,2006-07-07,Геофізик,селище Дніпро,"вулиця Сільськогосподарський, буд. 6, Славута, 33265",+380 36 687-32-68,prymachenkoruslan@example.net
Архимович,Галина,Степанівна,Жіноча,2003-05-22,Клоун,хутір Снігурівка,"парк Маячний, буд. 93 кв. 1, Лутугине, 71490",056 231-62-37,klymentakulenko@example.net
Вишняк,Віталій,Михайлович,Чоловіча,2000-01-04,Намотувальник,селище Курахове,"проспект Привокзальна, буд. 0, Марганець, 21814",112 87 70,klukash@example.org
Худяк,Вадим,Михайлович,Чоловіча,1954-08-24,Стиліст,місто Балаклія,"площа Лінія 46-та, буд. 14, Ржищів, 28017",432 36 09,pbarabash@example.net
Килимник,Роксолана,Сергіївна,Жіноча,1984-05-18,Професор,селище Коростень,"вулиця Чорноморського козацтва, буд. 57, Самар, 55399",155-56-20,vovkihor@example.com
Єресько,Ірена,Михайлівна,Жіноча,1952-09-17,Електромонтажник,хутір Липовець,"шосе Дорбуду, буд. 13, Городище, 21125",+380 54 100-34-75,boryslaviemelianenko@example.com
Жайворон,Євген,Андрійович,Чоловіча,1961-01-03,Клавішник,хутір Кременець,"вулиця Докова, буд. 4 кв. 263, Острог, 46440",069 313 08 65,danylodanko@example.net
Тягнибок,Богуслава,Анатоліївна,Жіноча,1987-11-02,Юрист,хутір Носівка,"вулиця Лінія 52-га, буд. 92 кв. 52, Білгород-Дністровський, 97659",+380 11 694-21-47,hryhorii19@example.net
Христич,Святослав,Степанович,Чоловіча,1950-09-18,Різноробочий,село Молочанськ,"шосе Удільний, буд. 49, Баштанка, 03630",078 954-28-97,vakulenkoolena@example.net
Конопля,Артем,Романович,Чоловіча,1947-01-13,Ботанік,село Зимогір'я,"набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 8, Привілля, 02297",+380 21 432-41-60,mykhailyna84@example.org
Євтушок,Надія,Андріївна,Жіноча,1977-05-29,Фермер,село Оріхів,"проспект Нафтовиків 2-й, буд. 993, Щолкіне, 11106",049 867-88-22,sirobabadmytro@example.net
Корпанюк,Володимира,Юріївна,Жіноча,1982-12-25,Палеонтолог,місто Тараща,"набережна Сирітський 2-й, буд. 5, Косів, 20528",075-83-08,evasylechko@example.com
Пʼятаченко,Іван,Андрійович,Чоловіча,1947-11-14,Агроном,селище Кальміуське,"набережна Дача Ковалевського, буд. 8 кв. 872, Ясинувата, 79658",088 805 22 09,mykhailokolesnychenko@example.net
Лисенко,Тарас,Васильович,Чоловіча,1999-09-20,Правник,місто Приморськ,"проспект Яна Длугоша, буд. 361, Марганець, 49842",132-24-59,solomiia24@example.net
Цісик,Богодар,Дмитрович,Чоловіча,1970-03-21,Кіноактор,селище Білозерське,"узвіз Бібліотечна, буд. 6, Білогірськ, 16165",+380 73 431-26-78,chumakvolodymyr@example.org
Непорожній,Феофан,Сергійович,Чоловіча,1976-02-28,Фармацевт,село Кам'янка (Черкаська область),"набережна Колекційна, буд. 57 кв. 3, Боярка, 18083",+380 38 609 28 64,terezakybkalo@example.com
Скоробогатько,Богдан,Романович,Чоловіча,2009-09-07,Клоун,місто Новоселиця,"провулок Компасний, буд. 227, Переяслав, 14249",045-27-34,sbabiichuk@example.org
Твердохліб,Климент,Олександрович,Чоловіча,1962-06-22,Письменник,село Ірміно,"сквер Студентський 4-й, буд. 7 кв. 3, Кам'янець-Подільський, 30398",+380 (12) 682-78-77,redkooryna@example.net
Гайдай,Орхип,Павлович,Чоловіча,1961-07-04,Сантехнік,село Василівка,"площа Красива, буд. 445 кв. 45, Ворожба, 21371",088 175 84 31,taras05@example.org
Рак,Михайлина,Дмитрівна,Жіноча,1962-09-02,Євнух,хутір Овруч,"вулиця Довженка, буд. 5, Городенка, 85698",+380 (39) 412-36-14,arsenbevzenko@example.com
Дацюк,Лукʼян,Тарасович,Чоловіча,1990-09-27,Реабілітолог,село Борислав,"провулок Проектуєма, буд. 4, Вінниця, 12832",+380 (55) 490-82-92,shovkopliasanton@example.com
Дзиндра,Еріка,Сергіївна,Жіноча,2010-06-09,Письменник,село Кременчук,"узвіз Сімферопольська, буд. 69 кв. 95, Ічня, 87364",+380 27 836 21 88,taras47@example.net
Алексюк,Федір,Анатолійович,Чоловіча,1960-02-09,Гірничий інженер,хутір Мостиська,"провулок Каменярів, буд. 892, Золочів, 16908",+380 73 635 68 17,danylodotsenko@example.net
Гайдабура,Захар,Павлович,Чоловіча,2005-05-18,Мікробіолог,село Долина,"узвіз Альтовий, буд. 34 кв. 6, Донецьк, 96582",+380 87 352 00 25,adam14@example.org
Ткаченко,Остап,Тарасович,Чоловіча,2007-06-13,Редактор,місто Шпола,"площа Раїси Сергієнко, буд. 257 кв. 81, Перемишляни, 44159",+380 56 296-07-95,orest70@example.org
Балабан,Марта,Андріївна,Жіноча,1960-02-07,Льотчик,хутір Любомль,"сквер Хімічний 1-й, буд. 0, Тисмениця, 78209",+380 (75) 689-05-10,iustyna91@example.com
Валенко,Альбіна,Богданівна,Жіноча,1960-07-11,Фермер,хутір Запоріжжя,"площа Лінія 29-та, буд. 27 кв. 9, Пустомити, 17908",086 372-59-56,kdeineka@example.com
Філіпенко,Симон,Тарасович,Чоловіча,1954-04-09,Золотар,місто Дубно,"вулиця Миколи Костомарова, буд. 15 кв. 09, Нововолинськ, 50366",610-88-32,bevziarema@example.org
Іваненко,Наталія,Іванівна,Жіноча,1966-07-31,Вчитель,село Хоростків,"площа Лінія 45-та, буд. 7, Нова Каховка, 81184",029 647-58-00,panas35@example.org
Єщенко,Іван,Дмитрович,Чоловіча,2001-05-10,Штукатур,місто Радомишль,"провулок Зої Пасічної, буд. 714 кв. 6, Нововолинськ, 36965",430 99 23,utkach@example.com
Адаменко,Євген,Тарасович,Чоловіча,1949-08-05,Модель,місто Корець,"набережна Висока, буд. 63 кв. 084, Новогродівка, 71236",+380 (90) 727-14-40,rebrykpanas@example.org
Василенко,Данна,Василівна,Жіноча,1994-11-16,Прокурор,хутір Новодністровськ,"сквер Ванний, буд. 436, Дружківка, 80352",525-81-76,anitaiarosh@example.com
Александренко,Богданна,Степанівна,Жіноча,1962-12-18,Кушнір,хутір Бориспіль,"набережна Лінія 45-та, буд. 4 кв. 077, Мерефа, 15076",338 80 69,petrosirchenko@example.net
Жарко,Єва,Вікторівна,Жіноча,2011-07-24,Конструктор,хутір Галич,"набережна Хотинський, буд. 8 кв. 1, Тальне, 86205",033 419 64 45,skonoplia@example.org
Шеремет,Олекса,Павлович,Чоловіча,1985-05-04,Палеонтолог,селище Шостка,"площа Вишневий, буд. 6, Борислав, 16669",+380 58 547-00-60,iefrem26@example.net
Шелест,Артем,Володимирович,Чоловіча,1993-01-01,Актор,селище Здолбунів,"набережна Олександра Блока, буд. 11 кв. 9, Балта, 10012",081 388 76 63,paliitetiana@example.com
Гриценко,Гордій,Степанович,Чоловіча,1965-08-03,Промисловець,місто Любомль,"шосе Слави, буд. 6, Богодухів, 75829",895 55 40,claba@example.org
Ященко,Богуслава,Тарасівна,Жіноча,1977-01-17,Патологоанатом,місто Курахове,"сквер Скляний 2-й, буд. 78, Могилів-Подільський, 13476",+380 75 743-13-71,karpakyrylo@example.net
Баштан,Ганна,Романівна,Жіноча,1994-09-21,Кур'єр,селище Балаклія,"набережна Гобеленова, буд. 25 кв. 292, Дрогобич, 07953",527-05-69,oleksandr66@example.org
Хомик,Богуслава,Андріївна,Жіноча,1985-11-14,Підприємець,хутір Чортків,"набережна Карпенка-Карого, буд. 573, Охтирка, 39997",+380 03 065 91 72,lukashiakiv@example.org
Примаченко,Марко,Миколайович,Чоловіча,2010-05-15,Астронавт,селище Костянтинівка,"шосе Тополиний, буд. 760 кв. 674, Ковель, 91118",+380 (97) 652-80-42,xtsiutsiura@example.com
Єрченко,Лариса,Миколаївна,Жіноча,1981-02-26,Гірничий інженер,хутір Андрушівка,"узвіз Вітчизняна, буд. 6 кв. 87, Батурин, 89554",+380 28 277 50 55,varfolomii18@example.com
Артимишина,Алла,Дмитрівна,Жіноча,1985-02-06,Штукатур,місто Нововолинськ,"провулок Локальна, буд. 111 кв. 269, Вільнянськ, 93217",+380 54 131-12-11,danylchukvasyl@example.com
Сірко,Дарина,Анатоліївна,Жіноча,1981-09-21,Кушнір,селище Умань,"проспект Аеропортівський 5-й, буд. 041 кв. 81, Златопіль, 45575",+380 15 955-29-61,khudiakdaryna@example.org
Журба,Борислав,Володимирович,Чоловіча,1962-10-17,Акушер,село Ромни,"вулиця Аркадіївський, буд. 6, Богодухів, 60767",+380 79 857-11-98,npryimak@example.org
Жаліло,Захар,Тарасович,Чоловіча,1980-03-10,Біолог,село Кальміуське,"сквер Госпітальний, буд. 869, Коростишів, 44883",665-24-55,ishchyrytsia@example.net
Іщак,Алевтин,Тарасович,Чоловіча,1997-02-02,Кінорежисер,селище Тетіїв,"шосе Італійський, буд. 4 кв. 47, Кам'янка-Бузька, 77406",055 955 78 84,ihnatfranchuk@example.org
Чабан,Орхип,Тарасович,Чоловіча,1987-06-25,Прокурор,село Могилів-Подільський,"провулок Кафедральна, буд. 593, Київ, 77777",+380 (96) 515-58-26,opanaslahoda@example.org
Жук,Семен,Юрійович,Чоловіча,2002-07-24,Геофізик,село Прип'ять,"провулок Лиманчик 2-й Лінія 4-та, буд. 348, Кам'янка-Бузька, 36780",937-43-07,albertkonoplenko@example.com
Засуха,Данна,Сергіївна,Жіноча,1955-06-06,Електрослюсар,селище Городище,"набережна Локомотивний 3-й, буд. 074 кв. 8, Нова Одеса, 58948",+380 (42) 882-55-81,fprytula@example.com
Бандера,Софія,Володимирівна,Жіноча,1988-09-19,Дантист,хутір Монастирище,"проспект Куниці, буд. 16, Соледар, 97407",+380 55 706-64-60,onysymdashenko@example.org
Артюх,Леонід,Андрійович,Чоловіча,1969-11-28,Парфюмер,місто Зимогір'я,"площа Ланжерон, буд. 5 кв. 9, Рені, 30549",082 412 82 37,klavdiiadevdiuk@example.org
Жук,Василина,Василівна,Жіноча,1973-10-20,Режисер,місто Фастів,"узвіз Іванова Ігоря, буд. 25 кв. 412, Ржищів, 72575",+380 11 963-00-06,frantskhomyk@example.org
Джус,Йосип,Павлович,Чоловіча,1984-02-14,Бібліограф,село Теребовля,"провулок Машинобудівний, буд. 3 кв. 6, Хрустальний, 52305",+380 (29) 400-89-83,orest64@example.org
Акименко,Геннадій,Петрович,Чоловіча,1966-07-25,Епідеміолог,хутір Золотоноша,"вулиця Хаджибейська дорога, буд. 1 кв. 93, Світлодарськ, 21175",+380 52 895-55-00,nonishchuk@example.com
Тимчук,Устим,Павлович,Чоловіча,1959-06-09,Різноробочий,село Кам'янка-Дніпровська,"проспект Чорноморський 7-й, буд. 3, Жашків, 68947",+380 (37) 664-00-43,oksanakabaliuk@example.com
Кириленко,Валентина,Іванівна,Жіноча,1950-08-22,Літературознавець,хутір Винники,"провулок Юрія Олеші, буд. 2, Новгород-Сіверський, 99915",+380 84 925 61 93,arkadii87@example.com
Дацюк,Мирослав,Михайлович,Чоловіча,1977-08-07,Шериф,селище Батурин,"проспект Пісочний, буд. 98 кв. 95, Вилкове, 65007",114-23-94,olesshvedchenko@example.com
Євтушенко,Георгій,Григорович,Чоловіча,1992-01-20,Ді-джей,хутір Могилів-Подільський,"площа Бучми, буд. 023, Вугледар, 39052",019 32 69,iosyp00@example.net
Скоробогатько,Григорій,Павлович,Чоловіча,1997-03-21,Флорист,хутір Бердянськ,"провулок Новаторів, буд. 0, Радивилів, 81281",585 32 60,mykolaihrechanyk@example.com
Ісаєвич,Леопольд,Петрович,Чоловіча,1969-11-30,Ветеринар,місто Українка,"набережна Аеропортівський 5-й, буд. 3 кв. 285, Ізяслав, 44021",090 842 97 88,opanasdeineko@example.com
Пʼятаченко,Климент,Богданович,Чоловіча,1981-06-11,Головний меркшейдер,селище Самар,"провулок Пироговський, буд. 4, Бахчисарай, 90062",071 619-12-65,chaikaodarka@example.net
Лукаш,Павло,Іванович,Чоловіча,2009-07-09,Піаніст,хутір Курахове,"шосе Деревообробна, буд. 85, Кривий Ріг, 08096",449-17-53,rubanviacheslav@example.org
Андрієнко,Тереза,Євгенівна,Жіноча,1965-03-06,Модельєр,село Зугрес,"шосе Слов'янська, буд. 9 кв. 7, Погребище, 12609",055 114-73-82,hsirobaba@example.net
Павлик,Єфрем,Богданович,Чоловіча,1977-12-15,Соціолог,хутір Перевальськ,"площа Небесної Сотні, буд. 872, Болград, 99021",+380 (74) 400-34-10,omelian44@example.net
Журба,Владислав,Дмитрович,Чоловіча,2010-09-12,Менеджер,хутір Гадяч,"проспект Туристський, буд. 9 кв. 9, Маріуполь, 32566",+380 43 543 42 97,volodymyradubas@example.org
Ярема,Борислав,Євгенович,Чоловіча,1996-04-28,Ветеринар,селище Рогатин,"узвіз Лінія 26-та, буд. 71 кв. 70, Лутугине, 83808",+380 46 191-98-03,iaroslavdashkevych@example.com
Доценко,Данило,Григорович,Чоловіча,1957-07-10,Мовознавець,місто Тернопіль,"сквер Локомотивний 4-й, буд. 79, Бунге, 71652",770-32-08,alevtynierchenko@example.com
Чумак,Аніта,Вікторівна,Жіноча,1979-04-14,Модель,місто Дебальцеве,"сквер Геранієва, буд. 74, Соледар, 14066",411-27-49,wtokar@example.net
Тимченко,Дан,Романович,Чоловіча,2009-05-02,Режисер,хутір Вознесенськ,"сквер Одеський, буд. 12 кв. 813, Буча, 69312",+380 (70) 303-31-50,andriichukodarka@example.com
Орлик,Валентин,Андрійович,Чоловіча,1951-08-03,Патологоанатом,хутір Погребище,"провулок Бессарабська, буд. 3 кв. 81, Снятин, 41411",901 59 65,ctkachenko@example.net
Оніщук,Прохір,Павлович,Чоловіча,2004-09-03,Реабілітолог,хутір Олександрівськ,"набережна Степний 2-й, буд. 63, Берестин, 62263",+380 08 752 07 90,iukhym26@example.com
Микитюк,Остап,Васильович,Чоловіча,1996-08-23,Кінорежисер,місто Хмільник,"набережна Керченський 2-й, буд. 70, Зборів, 60065",062 404-82-93,vmykytiuk@example.net
Овсієнко,Артем,Петрович,Чоловіча,1952-09-17,Професор,місто Кременець,"шосе Соляний 3-й, буд. 46, Вишневе, 82054",031 578 93 67,iarema04@example.org
Сич,Валентин,Романович,Чоловіча,1959-10-07,Публіцист,село Малин,"узвіз 19-й км Старокиївської дороги, буд. 60 кв. 0, Дебальцеве, 60492",523 84 91,iaroslavaartymyshyna@example.net
Вишняк,Вікторія,Анатоліївна,Жіноча,1958-09-24,Редактор,місто Решетилівка,"проспект Рачкова, буд. 98 кв. 672, Звенигородка, 78651",170-52-17,hanna90@example.com
Кибкало,Олекса,Вікторович,Чоловіча,1988-03-06,Програміст,місто Острог,"вулиця Лінія 41-ша, буд. 8, Алчевськ, 22357",+380 08 781 53 75,olhazinkevych@example.org
Гриценко,Єва,Анатоліївна,Жіноча,1988-03-07,Модельєр,хутір Кремінна,"парк Рибальська, буд. 02 кв. 8, Судак, 48308",638-15-68,lprytula@example.org
Негода,Софія,Григорівна,Жіноча,1964-12-12,Палеонтолог,місто Зугрес,"проспект Студентський 3-й, буд. 72, Перемишляни, 57856",127-01-00,lukian99@example.net
Гупало,Олена,Вікторівна,Жіноча,1968-08-29,Кінорежисер,хутір Баранівка,"проспект Рабіна Іцхака, буд. 4, Рубіжне, 73264",017 944 68 76,korolenkoles@example.net
Яремків,Антон,Григорович,Чоловіча,2000-07-01,Кінолог,село Овруч,"сквер Велика Арнаутська, буд. 26 кв. 34, Лохвиця, 02622",017 077-00-93,wmazur@example.net
Свириденко,Христина,Євгенівна,Жіноча,1978-09-03,Секретар,селище Нове Давидково,"сквер Лїнія 1-ша, буд. 150 кв. 23, Берестин, 22827",+380 98 484-49-12,dgerus@example.net
Масляк,Надія,Петрівна,Жіноча,1953-09-30,Кінорежисер,хутір Здолбунів,"площа Юхима Геллера, буд. 9, Теплодар, 20255",456 47 53,aaron01@example.org
Салій,Алевтин,Тарасович,Чоловіча,2005-06-19,Музикант,місто Почаїв,"проспект Станційна 3-тя, буд. 23, Турка, 05998",071 195 96 58,viacheslav68@example.net
Носаченко,Володимир,Юрійович,Чоловіча,2004-09-04,Флорист,село Деражня,"проспект Балківська, буд. 854, Севастополь, 13072",+380 (85) 593-24-89,opanas17@example.net
Гавриленко,Франц,Юрійович,Чоловіча,1950-07-17,Художник,місто Приморськ,"провулок Контрадмірала Остроградського, буд. 8 кв. 439, Довжанськ, 36020",+380 (68) 387-40-68,anzhela32@example.com
Єрмоленко,Веніямин,Тарасович,Чоловіча,1977-11-22,Будник,село Старий Крим,"узвіз Люстдорфський, буд. 963, Кролевець, 21187",006 694 87 08,vhaidai@example.com
Петрик,Вадим,Васильович,Чоловіча,1971-11-21,Швачка,місто Кагарлик,"набережна Лінія 24-та, буд. 097, Кременець, 03345",851 12 00,allaromanenko@example.org
Щириця,Дарина,Євгенівна,Жіноча,2011-09-16,Кіноактор,місто Старий Крим,"узвіз Волова, буд. 7 кв. 63, Кальміуське, 20479",+380 (89) 820-01-16,qprykhodko@example.org
Жарко,Юстим,Володимирович,Чоловіча,1959-09-23,Мінералог,хутір Бобринець,"узвіз Гранатна, буд. 36 кв. 97, Хуст, 70600",+380 19 547 67 88,davydabramchuk@example.org
Абраменко,Тимофій,Юрійович,Чоловіча,1994-02-12,Астронавт,хутір Угнів,"площа Дюківська, буд. 01 кв. 65, Старий Крим, 31967",+380 (17) 628-91-79,iefrem63@example.net
Олійник,Левко,Васильович,Чоловіча,1996-05-25,Етнограф,місто Чортків,"вулиця Надії Пучковської, буд. 604, Щолкіне, 05692",+380 94 864-31-28,kovalenkobohdan@example.org
Тригуб,Сергій,Миколайович,Чоловіча,1958-11-16,Шериф,хутір Гола Пристань,"узвіз Сінна, буд. 52, Верхівцеве, 48728",+380 45 085 05 04,irynaadamenko@example.com
Гайда,Стефан,Іванович,Чоловіча,1957-12-19,Слідчий,село Тиврів,"набережна Ушинського, буд. 471 кв. 8, Тернівка, 30910",+380 96 553-35-41,thaidamaka@example.org
Самойленко,Василина,Юріївна,Жіноча,2000-12-31,Єгер,хутір Немирів,"набережна Вишневий, буд. 5, Джанкой, 69719",+380 46 180 65 02,babkonataliia@example.net
Козаченко,Соломон,Михайлович,Чоловіча,1974-08-06,Мікробіолог,місто Гуляйполе,"парк 5-та Лінія Марії Демченко, буд. 0, Герца, 39095",+380 30 480-61-89,kamilla91@example.org
Величко,Галина,Анатоліївна,Жіноча,1976-01-09,Ботанік,селище Судова Вишня,"шосе Дорожня, буд. 31, Турка, 52954",+380 92 452-22-22,olenahaidenko@example.org
Бабʼюк,Василина,Григорівна,Жіноча,1967-04-23,Євнух,хутір Дружківка,"вулиця Нова, буд. 5 кв. 080, Дебальцеве, 04023",+380 57 552-68-66,egzhytska@example.com
Канівець,Марта,Миколаївна,Жіноча,1972-04-08,Фермер,селище Мала Виска,"парк Менделе Сфоріма, буд. 22, Бердичів, 56293",805 92 13,lshapoval@example.net
Ванченко,Юстим,Романович,Чоловіча,1968-01-31,Вчитель,село Дрогобич,"узвіз Ризька, буд. 8, Хотин, 84580",084 658 15 71,demian14@example.com
Зарудний,Ігнат,Богданович,Чоловіча,1964-06-30,Сантехнік,місто Гуляйполе,"сквер Пересипський міст, буд. 8, Перещепине, 53128",+380 (96) 824-19-42,sdzyndra@example.net
Бандурка,Кирило,Вікторович,Чоловіча,1988-11-23,Зоолог,місто Глобине,"вулиця Стороженка Олега, буд. 76, Люботин, 90061",+380 (97) 367-51-55,havryletsviktoriia@example.com
Зінченко,Єлисавета,Степанівна,Жіноча,1992-07-22,Громадський діяч,місто Кривий Ріг,"парк Літакова, буд. 6 кв. 399, Мала Виска, 86518",+380 (91) 704-28-23,atamaniuksofiia@example.com
Скопенко,Спас,Дмитрович,Чоловіча,1994-08-03,Детектив,місто Арциз,"узвіз Юрія Кондратюка, буд. 2 кв. 594, Щолкіне, 68268",082 376 19 22,devdiukliza@example.org
Яценко,Людмила,Тарасівна,Жіноча,1973-03-18,Актор,хутір Белз,"узвіз Килимова, буд. 40 кв. 79, Балаклія, 87019",044 927-68-80,alla21@example.org
Масляк,Вадим,Степанович,Чоловіча,1948-11-22,Гицель,село Болград,"парк Панаса Мирного, буд. 81 кв. 2, Отаманівка, 50883",+380 26 596-86-99,tymchukorest@example.net
